text,label
URGENT warning: authorities are HIDING that banks are planning to delete everyone's savings next week. This changes EVERYTHING you thought you knew.,FAKE
The ministry of finance confirmed updated statistics on inflation and interest rates during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
The health ministry approved a budget allocation for climate change mitigation during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
Doctors HATE this one trick because 5G towers are secretly reading your dreams. Wake up and see the truth nobody is telling you.,FAKE
This ONE weird fact means a magic pill can make you lose 20kg in two days. Forward to everyone you know right now.,FAKE
The department of agriculture signed an agreement concerning vaccination coverage during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
The parliament announced a new policy to regulate vaccination coverage during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
Experts are TERRIFIED to admit that a hidden chip in vaccines controls your thoughts. The mainstream media refuses to report this.,FAKE
You won't BELIEVE what happens when eating this fruit makes you immortal. The mainstream media refuses to report this.,FAKE
SHOCKING: Scientists CONFIRM that the moon landing footage was filmed in a secret basement. Forward to everyone you know right now.,FAKE
SHOCKING: Scientists CONFIRM that one banned vegetable can instantly cure blindness. This is being hidden from the public on purpose.,FAKE
BREAKING: Secret government plan reveals a popular celebrity is actually a robot built in a lab. Share this before it gets deleted!!!,FAKE
The transport authority issued a statement clarifying employment growth data during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
Experts are TERRIFIED to admit that the moon landing footage was filmed in a secret basement. Share this before it gets deleted!!!,FAKE
The central bank conducted a review of inflation and interest rates during an official briefing held earlier today. Officials said the move is part of an ongoing effort to strengthen transparency and improve outcomes over the coming fiscal year. A detailed report has been made available on the official website for public review and feedback.,REAL
URGENT warning: authorities are HIDING that a magic pill can make you lose 20kg in two days. Wake up and see the truth nobody is telling you.,FAKE
SHOCKING: Scientists CONFIRM that 5G towers are secretly reading your dreams. Forward to everyone you know right now.,FAKE
This ONE weird fact means 5G towers are secretly reading your dreams. This is being hidden from the public on purpose.,FAKE
